grade,lat,long
B,40.7049651,-74.01218714
B,40.74224051,-73.91791526
B,40.80937934,-73.94432194
C,40.72599304,-74.00930109
C,40.74106742,-73.99245784
C,40.7546536,-73.98796616
B,40.63562205,-73.95063936
B,40.86629929,-73.92030686
B,40.7779935,-73.80918522
C,40.54509237,-74.16098838
B,40.67765593,-73.8857317
C,40.66838798,-73.91937991
C,40.66478303,-73.73490314
B,40.72230994,-73.99939752
B,40.60023581,-73.94366518
C,40.75908798,-73.83417524
B,40.86782254,-73.89923333
C,40.74727047,-73.88740191
B,40.71397154,-73.94430455
C,40.75165109,-73.85552823
C,40.69422636,-73.73728109
C,40.74161711,-73.88276707
B,40.70053865,-73.90981975
C,40.71521471,-73.99874466
B,40.60001049,-73.99065171
B,40.82099278,-73.89122936
C,40.70515746,-74.00983918
B,40.67107775,-73.98472609
B,40.62412516,-74.03077482
C,40.88239946,-73.88161016
C,40.75063902,-73.97664119
B,40.7554987,-73.97097982
C,40.73690034,-73.98664868
B,40.72131076,-73.99557345
B,40.72769923,-73.98187359
C,40.8542401,-73.8886733
C,40.78673433,-73.81344293
B,40.70870873,-73.81851709
C,40.76911088,-73.92469811
C,40.76438997,-73.97523207
B,40.74491376,-73.9782636
B,40.75209393,-73.97760435
B,40.76422873,-73.95861553
C,40.74646096,-73.99391164
B,40.83170704,-73.85099931
B,40.71488534,-73.99961763
B,40.72035007,-73.9950865
C,40.83542212,-73.94017668
B,40.66154805,-73.98603666
C,40.74248813,-73.98255522
B,40.86590541,-73.83042975
C,40.71814005,-73.98840207
C,40.75977791,-73.82923543
B,40.6189687,-73.99032486
B,40.66195798,-73.9441427
C,40.84406759,-73.93931591
C,40.75109663,-73.97313646
B,40.70166482,-73.80790781
C,40.7384367,-73.88626938
C,40.75771554,-73.78310999
B,40.7672419,-73.82087323
B,40.6245253,-74.13670981
B,40.71891636,-73.98452028
B,40.67057322,-73.98916379
C,40.75063902,-73.97664119
B,40.71881239,-73.9871249
B,40.74891735,-73.86929937
B,40.77261008,-73.99094149
B,40.69017521,-73.81459759
B,40.71868131,-73.99664505
B,40.74322953,-73.95394078
C,40.77417433,-73.94838802
B,40.74564768,-73.71455763
B,40.74200912,-74.00088775
C,40.8175901,-73.9412658
C,40.69594941,-73.90984761
C,40.75450259,-73.83304612
B,40.65766222,-74.00418083
B,40.61837902,-73.95667836
B,40.75777465,-73.96329399
B,40.71977308,-73.98734117
C,40.7751312,-73.98044169
C,40.76704875,-73.98632493
B,40.7025324,-73.85470459
B,40.85466542,-73.88575537
B,40.7040156,-74.01019968
C,40.7186978,-73.99761907
C,40.69889635,-73.80687717
C,40.74545928,-73.99891732
C,40.71557734,-73.94454489
C,40.68128981,-73.97716312
B,40.83048777,-73.85700418
B,40.71808025,-74.00082971
B,40.7008077,-73.82636841
C,40.74274197,-74.0003284
B,40.76655762,-73.82749958
C,40.75881797,-73.76856664
B,40.71446219,-74.0103095
C,40.7739812,-73.95961677
B,40.75619446,-73.92124041
C,40.84476341,-73.84655322
C,40.70664163,-73.92296554
C,40.6891407,-73.96905082
B,40.73957972,-74.00803637
C,40.71358127,-74.00836148
B,40.67126438,-73.98456743
C,40.74491376,-73.9782636
B,40.74633999,-73.89612278
C,40.86928319,-73.82976305
B,40.78692902,-73.80832894
B,40.60433389,-73.99778882
B,40.6241867,-73.99264761
C,40.63298932,-74.00568165
B,40.70956037,-73.84524252
B,40.75370997,-73.99605134
B,40.75004481,-73.88133739
B,40.73915564,-73.91825468
B,40.73629971,-74.00829218
C,40.7261765,-73.98632613
B,40.70616918,-73.75732737
C,40.75042163,-73.81890108
C,40.76581224,-73.81083394
C,40.75612139,-73.96956462
C,40.59865275,-73.95805597
C,40.76748478,-73.73861916
B,40.75211807,-74.00115858
C,40.79299254,-73.97297503
C,40.74382615,-73.99955611
B,40.7037237,-73.93123539
C,40.7900074,-73.81426073
B,40.7187444,-74.00459953
C,40.76196901,-73.99892788
B,40.7581679,-73.91727831
B,40.72713448,-73.82207105
B,40.72109071,-73.98869737
C,40.74705559,-73.8894125
B,40.71878828,-73.99465732
B,40.72361803,-73.86859516
B,40.86946798,-73.82851516
C,40.6807421,-73.95392281
C,40.67889581,-73.94964098
C,40.75907081,-73.94440747
B,40.66646206,-73.95657852
B,40.75646971,-73.82872417
C,40.76468715,-73.82304972
B,40.69651224,-73.83769253
B,40.72235438,-73.95102583
C,40.69284137,-73.97181135
C,40.7146601,-73.99377027
C,40.68603562,-73.8397842
C,40.61077672,-73.97886929
B,40.75238965,-73.99397607
B,40.75775038,-73.86257894
B,40.81575877,-73.91791817
B,40.66823099,-73.93118561
B,40.82852412,-73.87996831
B,40.83964777,-73.91622611
B,40.63830452,-73.96852682
B,40.78861497,-73.97434187
C,40.76619592,-73.74524872
C,40.73665398,-73.99515385
B,40.63474307,-74.02644542
C,40.64612287,-74.00923947
B,40.6718643,-73.97744394
B,40.66613002,-73.851677
B,40.64720165,-74.0081189
C,40.78800066,-73.9767472
B,40.7531774,-73.97418954
C,40.74742062,-73.94154083
B,40.76935926,-73.98211853
B,40.69056189,-73.95844868
B,40.85419221,-73.88464281
C,40.71982864,-73.99711036
B,40.8669277,-73.89608554
B,40.68661618,-73.95457138
B,40.86719036,-73.88374883
B,40.89331201,-73.85704574
B,40.71843965,-73.83727096
B,40.70452546,-73.90812639
B,40.76100738,-73.98505192
C,40.7007505,-73.92583593
B,40.67662702,-73.91090853
B,40.7348063,-73.98862648
C,40.60163289,-73.99414457
C,40.72599304,-74.00930109
B,40.78523396,-73.97680956
B,40.70617724,-73.77613324
B,40.75501769,-73.96842815
B,40.79574817,-73.94858071
B,40.75468355,-73.98579689
B,40.72681284,-73.98299229
C,40.70650353,-73.79198773
C,40.70730462,-73.80423774
C,40.72734527,-73.98260249
B,40.72888364,-73.99825732
C,40.67075732,-73.99158623
C,40.70587471,-73.80919408
B,40.88794192,-73.860363
C,40.76094057,-73.83033342
B,40.75785008,-73.7845931
C,40.73089133,-73.98145057
C,40.73089133,-73.98145057
B,40.71978967,-73.98851
C,40.7544181,-73.82788125
C,40.71586248,-73.99919917
B,40.76295768,-73.87500782
B,40.67084255,-73.82252821
B,40.63388809,-74.14318182
B,40.6270775,-74.02363242
C,40.73228711,-74.00350357
C,40.87822555,-73.90299278
C,40.67075732,-73.99158623
B,40.70394698,-74.01029705
C,40.72408599,-73.97574859
B,40.75708765,-73.82897163
B,40.53345224,-74.19259256
B,40.78426762,-73.95706833
C,40.7321856,-74.0015371
C,40.7316092,-74.0016345
C,40.79952888,-73.93973952
B,40.8611132,-73.89784805
B,40.86749171,-73.89757428
B,40.65087419,-73.95587155
B,40.84269748,-73.851383
B,40.71050401,-74.01252361
B,40.87328909,-73.88925237
C,40.7587821,-73.99235475
B,40.7621501,-73.81551191
B,40.76790237,-73.96195263
C,40.65357404,-73.83850377
B,40.86729352,-73.89694186
B,40.63874677,-74.01690591
C,40.67291794,-73.95022231
B,40.89331201,-73.85704574
C,40.76402782,-73.80898352
B,40.68483003,-73.93842295
C,40.6281516,-73.98113699
C,40.67194069,-73.91689901
B,40.76097101,-73.82682102
B,40.72637218,-74.00213948
C,40.72313473,-73.81992074
B,40.61806607,-73.99931202
C,40.66863771,-73.98519526
B,40.6340004,-74.02079942
B,40.80308313,-73.96602491
C,40.74248813,-73.98255522
C,40.62836356,-74.02904394
B,40.6975671,-73.95999862
B,40.70182567,-73.90605636
B,40.88727381,-73.90496507
B,40.71950095,-73.84250288
C,40.75386602,-73.98961219
C,40.6907555,-73.98865566
C,40.82550655,-73.94824327
B,40.71516368,-73.94621541
B,40.82743126,-73.94970157
B,40.74942869,-73.97720103
C,40.67825341,-73.96386069
C,40.72599304,-74.00930109
B,40.71521442,-73.99171407
B,40.68519072,-73.98034918
B,40.71811017,-73.99197344
C,40.63405907,-73.91948279
B,40.81367023,-73.92216922
C,40.7422055,-73.98308939
B,40.76338052,-73.81428112
C,40.6382951,-73.99778409
B,40.58344802,-73.98646707
C,40.74595907,-73.89988752
C,40.74443789,-73.95562529
B,40.69794454,-73.83543506
B,40.72929793,-73.99348386
C,40.75015354,-73.8803194
C,40.82367804,-73.83642005
B,40.69392881,-73.95600161
C,40.79221491,-73.94126299
C,40.62680723,-74.16318923
B,40.74316085,-73.93656804
B,40.60489917,-73.75428644
B,40.69325897,-73.91267484
B,40.75063902,-73.97664119
B,40.75909891,-73.83413912
C,40.74742071,-73.98425017
B,40.68934608,-73.81617568
B,40.85391646,-73.91460308
B,40.88727381,-73.90496507
C,40.75903601,-73.96840819
C,40.73365398,-74.00438768
B,40.75648387,-73.9839773
B,40.71573684,-73.77172171
C,40.71550565,-73.99813142
B,40.75916073,-73.99036939
B,40.57597124,-74.10420519
B,40.84803146,-73.88861867
B,40.66877414,-73.93065515
B,40.63469782,-74.10813796
C,40.80504365,-73.94085067
B,40.83910602,-73.91481371
B,40.73993293,-73.94725267
B,40.75521253,-73.96828729
B,40.81653324,-73.94661006
B,40.76516753,-73.97924971
B,40.86480779,-73.89204681
B,40.75977791,-73.82923543
C,40.76132585,-73.8310219
B,40.60992885,-73.92228162
B,40.70579293,-73.80952974
B,40.76566218,-73.9187924
C,40.75224614,-73.93679757
C,40.75648534,-73.92958169
C,40.87918621,-73.87462213
C,40.86862105,-73.90216801
C,40.58150035,-74.11176313
B,40.75563383,-73.99193642
C,40.60877969,-73.9621373
C,40.85899257,-73.89903346
C,,
C,40.84739651,-73.84930859
B,40.85391646,-73.91460308
B,40.74793365,-73.88091529
C,40.71232415,-73.95567921
B,40.74908285,-73.87001005
C,40.71200911,-73.95728819
B,40.86629929,-73.92030686
C,40.72681284,-73.98299229
B,40.87283392,-73.90509788
B,40.77082048,-73.73537478
C,40.75764288,-73.92005836
C,40.71437334,-73.90110029
B,40.7270495,-73.98774747
C,40.71414361,-73.94835172
C,40.73085439,-74.00153707
C,40.64227383,-73.9271191
C,40.75450814,-73.98807086
C,40.70397992,-74.01025017
C,40.59865549,-73.95802716
B,40.7410109,-73.91798174
B,40.71874857,-73.84029328
C,40.676947,-73.86957436
C,40.75953533,-73.83225376
B,40.74748745,-73.97392108
C,40.73594677,-73.97907121
C,40.76373263,-73.80808549
B,40.61016009,-74.06325107
B,40.75093894,-73.87302373
C,40.72878952,-73.98635085
B,40.68133088,-73.97666195
B,40.73806923,-73.9837075
B,,
C,40.76227259,-73.98416361
B,40.70727544,-73.78931984
B,40.75950168,-73.96515924
B,40.82000349,-73.91598719
C,40.64190574,-73.98135649
C,40.75689207,-73.93040424
C,40.70650353,-73.79198773
B,40.71128314,-73.96123119
B,40.86677923,-73.9237772
C,40.75285297,-73.86424938
C,40.69797125,-73.93703675
C,40.70438958,-73.8090685
B,40.7865485,-73.97585214
B,40.74279055,-73.91563022
B,40.76377756,-73.97378833
C,40.70715851,-74.00835346
B,40.64837098,-73.94930014
C,40.79166312,-73.94668787
B,40.77427223,-73.98126513
B,40.67820507,-73.97923001
B,40.7195074,-73.86476129
B,40.81923151,-73.92700404
C,40.8313075,-73.87502347
C,40.67181184,-73.95032768
B,40.71497039,-73.99686167
B,40.54499522,-74.16559727
C,40.61017967,-73.95494053
B,40.74764553,-73.88367312
B,40.65106411,-73.94445818
C,40.74274197,-74.0003284
B,40.75977791,-73.82923543
B,40.80453796,-73.96641066
C,40.89801891,-73.85461926
C,40.74443037,-73.92961974
B,40.71564048,-73.94455566
C,40.72105769,-73.98786763
B,40.63793899,-73.97827336
C,40.76566385,-73.95756772
C,40.72971807,-73.99966084
C,40.70726735,-73.78940282
B,40.74490439,-73.9897399
B,40.70452546,-73.90812639
C,40.7589713,-73.98992182
C,40.63295506,-74.13394216
B,40.71713879,-73.99879513
B,40.75306828,-73.92137767
B,40.70022219,-73.91231585
B,40.70897924,-73.8302642
C,40.671361,-73.84300633
B,40.80301369,-73.94896518
B,40.74724882,-73.86249603
B,40.71667876,-73.98046251
B,40.75566899,-73.88417882
B,40.67694904,-73.98640476
B,40.74105654,-73.99412144
B,40.84380394,-73.93404652
C,40.75935475,-73.98301643
B,40.72934477,-73.99887429
B,40.76352275,-73.96515352
C,40.90488253,-73.84962995
C,40.61291001,-73.98239832
C,40.71459343,-73.96150341
C,40.68364885,-73.9117969
C,40.76911088,-73.92469811
C,40.81761085,-73.91705601
C,40.72878952,-73.98635085
B,40.87813351,-73.86602127
C,40.84144444,-73.93577282
B,40.7619766,-73.82932724
C,40.70633113,-73.92246455
B,40.63589009,-74.01177454
C,40.72041115,-73.76092258
C,40.74297406,-73.98327324
B,40.77075943,-73.95384946
B,40.74312745,-73.91844827
C,40.74748745,-73.97392108
C,40.67596778,-73.87016032
C,40.6254977,-74.03023509
B,40.74365079,-73.95050488
B,40.69169861,-73.81979322
B,40.67821331,-73.97924803
C,40.84759006,-73.90778346
B,40.67140434,-73.98445204
C,40.589772,-74.101188
B,40.81758212,-73.89837396
B,40.72009197,-73.99328274
C,40.86547393,-73.8652587
B,40.76320049,-73.98542325
B,40.64321258,-73.96994783
C,40.6133562,-74.15843791
C,40.71138557,-74.00666588
B,40.67227855,-73.95739665
B,40.7624513,-73.98652803
B,40.68117118,-73.9743329
B,40.86590541,-73.83042975
B,40.72379149,-73.9880403
C,40.6157606,-73.91334211
C,40.85194742,-73.90962452
B,40.79428518,-73.94270579
C,40.758502,-73.83324181
C,40.67600553,-73.97441781
C,40.75820644,-73.96610203
C,40.6768861,-73.97223632
B,40.63761667,-74.08000268
C,40.75956948,-73.98809883
B,40.73695455,-73.81468343
B,40.75868238,-73.83271435
B,40.83253931,-73.8695645
B,40.68148819,-73.76528827
B,40.79898819,-73.96677827
B,40.67315676,-73.95707885
B,40.78305418,-73.97468345
B,40.84613285,-73.90471685
C,40.81625513,-73.9173106
B,40.69436718,-73.80188138
B,40.70055305,-73.89755766
B,40.57076958,-74.11035212
B,40.75275956,-73.86417739
C,40.71943062,-73.99633837
C,40.67562346,-73.73903826
C,40.59865549,-73.95802716
B,40.77068238,-73.96069104
B,40.85380526,-73.88746306
B,40.69093054,-73.98347025
B,40.72537758,-73.85076894
B,40.61554345,-73.99380837
B,40.82215318,-73.94984288
B,40.75183455,-73.98631002
B,40.77371208,-73.90730126
C,40.60499342,-73.97870547
C,40.68729529,-73.94470913
C,40.70749358,-73.78854006
B,40.75167843,-73.85543794
B,40.74645581,-73.90301216
B,40.60331449,-73.75385295
B,40.74604118,-74.00029954
B,40.71832452,-73.99783553
B,40.90141234,-73.8468922
C,40.70564441,-73.90698871
C,40.75065367,-73.8756987
B,40.68750004,-73.98716703
B,40.60696612,-74.00293155
B,40.7360173,-74.00076859
C,40.76033055,-73.82987293
C,40.70427914,-74.00978495
B,40.74461084,-73.99156604
B,40.76311611,-73.99294267
B,40.7008794,-73.9176418
B,40.86689084,-73.89783191
B,40.72058454,-73.8420674
B,40.70729054,-73.83545879
C,40.71717156,-73.81895209
B,40.84009759,-73.84267165
B,40.74971691,-73.97728755
B,40.7255701,-73.98798947
B,40.66004622,-73.96059429
C,40.67596778,-73.87016032
B,40.64261913,-73.97986811
B,40.64549975,-74.00991684
B,40.72934116,-73.98581674
B,40.85729681,-73.89958192
B,40.74461644,-73.90256373
C,40.75884874,-73.83011497
C,40.76402782,-73.80898352
B,40.76391752,-73.8086806
B,40.7344967,-74.00117271
C,40.74210665,-73.98283319
B,40.59874024,-73.95711246
C,40.66863771,-73.98519526
B,40.61998193,-73.99923275
B,40.76224751,-73.96002099
C,40.85473582,-73.89040761
B,40.77777131,-73.97851641
C,40.76213864,-73.97247861
B,40.82248525,-73.93846129
B,40.77548301,-73.95349595
B,40.62882068,-74.07438645
B,40.70729054,-73.83545879
B,40.73296158,-73.98643659
B,40.69015386,-73.98413033
B,40.707362,-73.81738821
C,40.7632075,-73.81422385
C,40.75191407,-73.70269217
B,40.75978865,-73.93662073
